"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@SHANIxDIH EAAK, CURHAT SY?",FALSE,0,"SHANIxDIH","2020-04-15 08:28:30",FALSE,"1250339907102339072","1250340209696190464","985037141452275712","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jinberiman",0,FALSE,FALSE,NA,NA
"RT @nsptyn: @subtanyarl Jangan hanya anggap Mama ini sekadar ibu ya, jadiin Mama sebagai teman curhat dan berkeluh kesahmu juga. Mama gak p…",FALSE,0,NA,"2020-04-15 08:28:14",FALSE,NA,"1250340142729945088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ssqquirel",4,TRUE,FALSE,NA,NA
"@HabibiFuad Kok curhat😭",FALSE,0,"HabibiFuad","2020-04-15 08:28:09",FALSE,"1250339765435518976","1250340122198859776","1361831815","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cotlatte",0,FALSE,FALSE,NA,NA
"@EunBeeagle CURHAT APA AJA NNTI PADA KSH SARAN GITU KAK",FALSE,0,"EunBeeagle","2020-04-15 08:28:07",FALSE,"1250339641309327360","1250340111134253056","1530739856","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ciyuarelia",0,FALSE,FALSE,NA,NA
"RT @tempodotco: Kepala Staf Angkatan Darat menyebut RSPAD tertatih-tatih menangani pasien Covid-19. https://t.co/greWI5OmXG",FALSE,0,NA,"2020-04-15 08:28:05",FALSE,NA,"1250340102326202368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Alexikurnia",2,TRUE,FALSE,NA,NA
"fambest vey, baik2 bgtt. mau dijadiin temlat curhat, mau dibawelin, mau dispam bubble chat gajelas, mau terima joke… https://t.co/HU4C02YuET",FALSE,0,NA,"2020-04-15 08:27:17",TRUE,NA,"1250339900592803840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oliviahyeejoo",0,FALSE,FALSE,NA,NA
"HAI YA KEVERIF BARENG K DI @.TUANMUDASQ !! 💛
Salam kenal yaa
AYO TEMENAN, lebih juga boleh .eh
aku mah ga gigit kok… https://t.co/c4tTOwK70x",FALSE,0,NA,"2020-04-15 08:26:58",TRUE,NA,"1250339823736328192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","boracmm",0,FALSE,FALSE,NA,NA
"@Foxx10647162 @maswonka Hahahahahahabaahahha kuliah lo malah curhat",FALSE,0,"Foxx10647162","2020-04-15 08:26:58",FALSE,"1250339613920473088","1250339823459512320","1230564463159341056","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sabrinaaynv",0,FALSE,FALSE,NA,NA
"@taarufonline Tempat, dll curhat bkan ""relationship""/commitment dong",FALSE,0,"taarufonline","2020-04-15 08:26:55",FALSE,"1250339107617656832","1250339810524286976","1068560677827047424","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NiNiYon1",0,FALSE,FALSE,NA,NA
"79. nah ini fakboi sebenernya, wkwk, dulu srg bgt curhat ama ni org, tpi tetep aj di ketawain dulu ma dia, kpn cek in nih wkwkwkwkwkwkkw",FALSE,0,"zledryy","2020-04-15 08:26:40",FALSE,"1250339262119075840","1250339745852305408","1123428775113515008","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zledryy",0,FALSE,FALSE,NA,NA
"@andidzh Gosah curhat",FALSE,0,"andidzh","2020-04-15 08:26:23",FALSE,"1250339092551753728","1250339676822487040","1080693434787160064","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","orangbogorgabut",0,FALSE,FALSE,NA,NA
"@johfamcokr SINI, CURHAT SM QAQA.. APA TIDAK ENANYA",FALSE,0,"johfamcokr","2020-04-15 08:26:12",FALSE,"1250318076416897024","1250339631414923264","990520935080869888","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bluethevvhale",0,FALSE,FALSE,NA,NA
"@hareeharee @Hardjoeno @Harrsat @pecahtelor @AngieDfli @ervan25 @tarsihekaputra @s0ny_s @Ngopsor Ah iya.. Sampe bik… https://t.co/iavdFOM5cK",FALSE,0,"hareeharee","2020-04-15 08:26:10",TRUE,"1250339226731724800","1250339621893836800","31074687","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sipietz",0,FALSE,FALSE,NA,NA
